 Angola,6542944
 Argentina,13074000
 Australia,9647036
 Bangladesh,17151925
 Brazil,39446966
 Canada,6417516
 Chile,6683852
 China,309898600
 Colombia,9286225
 France,12405426
 Germany,32978595
 India,105051116
 Indonesia,31689592
 Iran,14595904
 Italy,8589190
 Japan,66281892
 Mexico,30613445
 Myanmar,7360703
 Netherlands,7100000
 Nigeria,21000000
 Pakistan,37552000
 Peru,9886647
 Philippines,12877253
 Russia,19000000
 Saudi Arabia,7739570
 Singapore,5535000
 South Korea,33716239
 Spain,11823913
 Taiwan,7045488
 Thailand,8305218
 Turkey,20150634
 United Arab Emirates,5300000
 United Kingdom,13879757
 United States,107226209
 Venezuela,5322310
